"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2012-07-03,5.15,20776.82,2.64557142857143,4.25,20776.7685
2012-07-04,5.23,20718.49,2.64685714285714,4.25,20718.4377
2012-07-05,5.1325,20661.89,2.65057142857143,4.25,20661.838675
2012-07-06,5.17,20602.68,2.65057142857143,4.25,20602.6283
2012-07-09,5.17,20434.36,2.64,4.25,20434.3083
2012-07-10,5.1,20224.52,2.63442857142857,4.25,20224.469
2012-07-11,5.03,20089.31,2.63328571428571,4.25,20089.2597
2012-07-12,4.86,19954.85,2.63485714285714,4.25,19954.8014
2012-07-13,4.86,20107.13,2.62628571428571,4.25,20107.0814
2012-07-16,4.775,20067.35,2.62385714285714,4.25,20067.30225
2012-07-17,4.98,20033.85,2.61928571428571,4.25,20033.8002
2012-07-18,4.91,20088.64,2.621,4.25,20088.5909
2012-07-19,4.8,20115.5,2.62028571428571,4.25,20115.452
2012-07-20,4.75,20023.06,2.63214285714286,4.25,20023.0125
2012-07-23,4.95,19754.37,2.64971428571429,4.25,19754.3205
2012-07-25,4.82333333333333,19544.29,2.63828571428571,4.25,19544.2417666667
2012-07-26,4.82,19674.23,2.63014285714286,4.25,19674.1818
2012-07-30,4.94,19692.52,2.625,4.25,19692.4706
2012-07-31,5.88,19627.5,2.62885714285714,4.25,19627.4412
2012-08-01,5.88,19452.8,2.62514285714286,4.25,19452.7412
2012-08-02,4.65,19282.92,2.629,4.25,19282.8735
2012-08-03,4.85,19730.47,2.62228571428571,4.25,19730.4215
2012-08-06,4.8,19738.5,2.61985714285714,4.25,19738.452
2012-08-07,4.84,19754.17,2.62042857142857,4.25,19754.1216
2012-08-08,4.85,19769.55,2.618,4.25,19769.5015
2012-08-09,4.78888888888889,19748.2,2.61685714285714,4.25,19748.1521111111
2012-08-10,4.781,19806.65,2.61857142857143,4.25,19806.60219
2012-08-13,4.78,19736.77,2.61714285714286,4.25,19736.7222
2012-08-14,4.82,19833.06,2.61614285714286,4.25,19833.0118
2012-08-15,4.81,19844.55,2.61514285714286,4.25,19844.5019
2012-08-16,4.83,20022.02,2.614,4.25,20021.9717
2012-08-17,4.8,20105.31,2.613,4.25,20105.262
2012-08-20,4.83,20107.08,2.613,4.25,20107.0317
2012-08-21,4.83,20304.73,2.61185714285714,4.25,20304.6817
2012-08-22,4.805,20295.43,2.61442857142857,4.25,20295.38195
2012-08-23,4.82631578947368,20177.65,2.61528571428571,4.25,20177.6017368421
2012-08-24,4.80166666666667,20215.36,2.61371428571429,4.25,20215.3119833333
2012-08-27,4.785,20265.77,2.612,4.25,20265.72215
2012-08-28,4.78421052631579,20230.82,2.61166666666667,4.25,20230.7721578947
2012-08-29,4.796,20197.62,2.61028571428571,4.25,20197.57204
2012-09-03,4.83,20270.41,2.60828571428571,4.25,20270.3617
2012-09-04,4.78,19985.31,2.60871428571429,4.25,19985.2622
2012-09-05,4.77666666666667,19977.86,2.61171428571429,4.25,19977.8122333333
2012-09-06,4.776,20161.75,2.61042857142857,4.25,20161.70224
2012-09-07,4.8,20494.04,2.609,4.25,20493.992
2012-09-10,4.75111111111111,20536.23,2.60885714285714,4.25,20536.1824888889
2012-09-11,4.746,20717.42,2.60742857142857,4.25,20717.37254
2012-09-12,4.75285714285714,20997.78,2.60557142857143,4.25,20997.7324714286
2012-09-13,4.69296296296296,21435.23,2.60357142857143,4.25,21435.1830703704
2012-09-14,4.682,21951.8,2.59614285714286,4.25,21951.75318
2012-09-17,4.68,21762.3,2.60028571428571,4.25,21762.2532
2012-09-18,4.60666666666667,21610.01,2.60271428571429,4.25,21609.9639333333
2012-09-19,4.5625,21723.63,2.60228571428571,4.25,21723.584375
2012-09-20,4.52625,21694.87,2.60328571428571,4.25,21694.8247375
2012-09-21,4.59,21884.55,2.60014285714286,4.25,21884.5041
2012-09-24,4.578,21784.77,2.59871428571429,4.25,21784.72422
2012-09-25,4.61,21747.83,2.59614285714286,4.25,21747.7839
